 ,Sentence,Chinese,Sort of done romanization,,,,,,Direct Chinese Translation from Hokkien,,,,,,,,,,,,,,,,,
108,I made a trip in vain to find her at her house as she wasn't in.,__________________,gua ki i tsu tsue i _i bo ti _gua pei gia liau ,Done,,,,,_______________,,,,,,,,,,,,,,,,,
109,"White shirts get dirtied easily, you need to be careful when wearing them.",________________,pei ei sah koh tsin gue lah sahp _tsheing ei si dzun ai dzu i _,Done,,,,,__________________,,,,,,,,,,,,,,,,,
110,I wasted a lot of money on books that weren't to my liking.,___________________,gua kai liau tsin tsue lui _bue bue tio te pei mua i ei tsei _,Done,,,,,____________________,,,,,,,,,,,,,,,,,
111,I love to eat lettuce.,___________,pei tsai si gua su gah tsiaq ei tsai _,Done,,,,,___________,,,,,,,,,,,,,,,,,
112,She bought a few lettuces from the market.,____________,i ti bah saht bue gui liap pei tsai _,Done,,,,,__________,,,,,,,,,,,,,,,,,
113,"Glass breaks easily, careful not to drop it on the ground.",______________,bo lei bue gue phua _sio sim mai gah lau toh kah _,Done,,,,,______________,,,,,,,,,,,,,,,,,
114,This dish was prepard using lettuce and eggs.,_____________,tsi pua giam si iong pei tsai gah gue neng dzo ei _,Done,,,,,________________,,,,,,,,,,,,,,,,,
115,"He is very well-tempered, and doesn't get angry easily.",_____________,i ei pi ki tsin ho _bei gue ki _,Done,,,,,____________,,,,,,,,,,,,,,,,,
116,This year has 365 days.,__________, gia ni u sah pahq lahk tsahp goh gahng _,Done,,,,,__________,,,,,,,,,,,,,,,,,
117,"That hill is very short, it only takes 5 minutes to reach the top.",_______________,hiq ei sua tsin ue _goh hun dzeing tiu bei gue ki _,Done,,,,,______________,,,,,,,,,,,,,,,,,
118,He has a few hundred books.,_______,i u gui pahq bun tsei _,Done,,,,,_______,,,,,,,,,,,,,,,,,
119,"Let's move this table together, it is too heavy.",________________,gua nahng tso tsi tim bua tsi lei to teing_i gue tahng liau _,Done,,,,,_________________,,,,,,,,,,,,,,,,,
120,He has moved the television to another room.,________________,i bua tian si gi ki leing uai tsit ei bahng geing liau _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
121,I can't move this fridge on my own.,____________,gua tsit gei lahng bua bei gia tsi ei suhng tu _,Done,,,,,____________,,,,,,,,,,,,,,,,,
122,Approximately 500 to 600 people visited this museum today.,_________________,gin lit lai tsi lei boh u guan ei lahng u goh lahk pahq_,Done,,,,,,,,,,,,,,,,,,,,,,
123,"There used to be many low houses here, but now they have been redeveloped into skyscrapers.",_____________________,gu dzah tsi tau u tsin tsue ue ue ei tsu_dzi dzun long tsong bian tua lau liau_,Done,,,,,,,,,,,,,,,,,,,,,,
124,Many new small trees were planted on those short hills.,___________________,hiq ue ue ei sua deing tseing liau tsin tsue ue ue ei tsiu_,Done,,,,,,,,,,,,,,,,,,,,,,
125,Placing flowers on the table is to decorate the room.,_________________,bah hue bahng tsai to teing si ui tio hoh bahng geing gah ho kuah _,Done,,,,,________________,,,,,,,,,,,,,,,,,
126,This large classroom has around 200 seats.,_____________,tsi lei tua gah si u neng pahq lai ei tsei ui _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
127,Can you lift this large rock?,_____________,le ei bah tsi kuai tua tsio tau bua khi lai bo _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
128,"Your hand is bleeding, is the cut deep?",_____________,le ei tsiu lau huiq liau _siong dei li hai mah _,Done,,,,,_____________,,,,,,,,,,,,,,,,,
129,"Drive safely, be careful not to drive too fast.",_____________,kui tsia ai dzu i ahn dzuan _mai kui dei tai kuai ,Done,,,,,_____________,,,,,,,,,,,,,,,,,
130,"As long as one perseveres, any obstacles can be overcome.",__________________,"le nah si gian tsi lo ki, le tiu gai guat lohng tsong ei buhn tue",Done,"gian tsi, __ gai guat",,,,,,,,,,,,,,,,,,,,,
131,I am frustrated with my short height.,_____________,ua tsin huan lo ua tsin ue,Done,__ huan lo,,,,,,,,,,,,,,,,,,,,,
132,"The visitors luggage have yet to arrive, let us wait a while more.",___________________,"kei lahng ei siu li ah bue kau, ua nahng ge tahn tsit bahn nia",Done,,,,,,,,,,,,,,,,,,,,,,
133,This small room can't fit such a big piano.,_______________,tsin ei bahng geing lai min bahng bue lo ah ni tua ei gahng tseing,Done,,,,,,,,,,,,,,,,,,,,,,
134,"This chair is not tall enough, adults would feel uncomfortable sitting in it.",__________________,"tsit ei kau i gah ue, dua lahng tsei liau bei su hohq",Done,,,,,,,,,,,,,,,,,,,,,,
135,"The quality of these models of cars is bad, and it often malfunctions.",______________,tsi kuan ei tsia tshui tsun bue gao _ei tshut bun tue _,Done,,,,,______________,,,,,,,,,,,,,,,,,
136,This lettuce's leaves are a little yellow.,____________,tsi dzahng pei tsai ei hio u tahm po ng _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
137,There is a vase of flowers on the table.,_________,to teing bahng tsit gahn hue _,Done,,,,,_______,,,,,,,,,,,,,,,,,
138,"Since you stay at this hotel, you are our guest.",___________________,sui lian le kia gua ei kei tsahng _le si gua ei kei _,Done,,,,,_________________,,,,,,,,,,,,,,,,,
139,"The child grows really quickly, and is only slightly shorter than his father now.",___________________,sue giah tsin gin tua _dzi dzun bi lau pei ue tahm po _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
140,This is the optimum position to place the television.,____________,tian si gi bahng te tsit tau siang siq hahq _,Done,,,,,___________,,,,,,,,,,,,,,,,,
141,"The table is not straight, it is slightly slanted.",____________,to teing bue tiq _u tahm po gau ue _,Done,,,,,___________,,,,,,,,,,,,,,,,,
142,"His father is very short, and is barely 1.6m tall.",_________________,i nahng ei pei bu tsin ue _boh kau it tiam lahk ng i gue _,Done,,,,,_______________,,,,,,,,,,,,,,,,,
143,"The chairs are not arranged neatly, kindly rearrange them.",_______________,gau i bai bo ho seiq _gue bai tsit bai _,Done,,,,,__________,,,,,,,,,,,,,,,,,
144,Her bicycle costs around 400 dollars.,____________,i ei tah kah tsia su iau tsiau gue si pahq koh _,Done,,,,,______________,,,,,,,,,,,,,,,,,
145,That old house has a few centuries worth of history.,___________________,hiq ei lau tshu u gui pahq ni ei leiq si liau _,Done,__,,,,,,,,,,,,,,,,,,,,,
146,"The bookshelf is very short, and cannot store many books.",______________,tsit lei tu dzo gah tsin ue _bei sai pahng tsin tsue tsei _,Done,,,,,,,,,,,,,,,,,,,,,,
147,He is moving a large box onto the truck.,_____________,i te tsia deing bua tsit ei tua ahp_,Done,,,,,,,,,,,,,,,,,,,,,,
148,"Watching movies is his favourite hobby, he will definitely be pleased when you bring him to the cinema.",_______________________,"i su kah kuah hi , le tshia i kuah hi i ei tsin hua hi _",Done,,,,,,,,,,,,,,,,,,,,,,
149,"The content of the conversation is important, you should listen.",_______________,i gohng ei ue tsin dzia tiong iau _le in gai tia yi gohng_,Done,,,,,,,,,,,,,,,,,,,,,,
150,The library is very quiet.,________,toh su guan lai bin tsin dzia tiam_,Done,,,,,,,,,,,,,,,,,,,,,,
151,"Please remain quiet, don't talk loudly.",____________,le ei sai mai tua sia gohng ue bo?,Done,,,,,,,,,,,,,,,,,,,,,,
152,Let's move the closet from that house over.,_______________,lah nahng bah hiq tau ei tu bua gue lai_,Done,,,,,,,,,,,,,,,,,,,,,,
153,"This is a safe city, it has very little criminals.",______________,tsi si tsit lei ahn dzuan ei soh zai_pai lahng tsin tsio_,Done,,,,,,,,,,,,,,,,,,,,,,
154,It is safer to park here as there are people watching.,__________________,ti tsi tao teing tsia gah ahn dzuan _u lahng kuah tiau _,Done,,,,,,,,,,,,,,,,,,,,,,
155,He is moving house soon and won't be staying here.,________________,i tsu ai bua liau _ei bai tio bo kia tsi tao liau _,Done,,,,,,,,,,,,,,,,,,,,,,
156,Her mom is consoling her as she broke up with her boyfriend.,__________________,i gah tah boh peing u hun _i ei lau bu ahn ui i _,Done,__,,,,,,,,,,,,,,,,,,,,,
157,Their whole family is moving house.,_______________,in nahng tsit gei lahng ai kuh bahq ei soh tsai kia liau _,Done,,,,,,,,,,,,,,,,,,,,,,
158,"I asked him to rest and recuperate, don't think too much into it.",______________,ua kio i ho ho hiu seiq _mai siung gah tsue _,Done,,,,,,,,,,,,,,,,,,,,,,
159,He moved out from the apartment with his family to live alone.,__________,i bua tshut lai tsit ei lahng kia liau _,Done,,,,,,,,,,,,,,,,,,,,,,
160,I should follow the doctor's advise to recover soon.,__________________,ua in gai tia i seing gohng ei ue ki dzo _sim tei gah ei ho _,Done,,,,,,,,,,,,,,,,,,,,,,
161,I have found a new residence and will be moving away tomorrow.,_______________,ua i geing tsue tio tsu liau_mia dzai tio bua _,Done,,,,,,,,,,,,,,,,,,,,,,
162,"I called him, but he did not respond.",_____________,"ua gio i ei mia , i bo ing ua toh tuhng_",Done,____,,,,,,,,,,,,,,,,,,,,,
163,My new neighbour moved over from another city.,________________,ua ei sin gei pia si bahq ei soh tsai bua lai ei _,Done,,,,,,,,,,,,,,,,,,,,,,
164,"I asked my friend for a favour, and he agreed.",_______,ua tshia ua peing u tau kah tsiu tsit ei,Done,,,,,,,,,,,,,,,,,,,,,,
165,I have moved house several times due to work reasons.,___________________,ing ue kahng kei ei guan hei_ua i geing bua tsin tsue bai tsu liau _,Done,__,,,,,,,,,,,,,,,,,,,,,
166,She always dresses up before leaving the house to look more presentable.,___________,i tshut muhng su kah tseing kah sui sui,Done,,,,,,,,,,,,,,,,,,,,,,
167,The people who moved in recently treat their neighbours well.,__________________,gahm gahm bua lit lai ei lahng tui i ei gei bia tsin dzia ho _,Done,,,,,,,,,,,,,,,,,,,,,,
168,He runs for half an hour round the track every morning.,________________,tahq lit tsah khiq i ki tsau pua tiam dzeing _,Done,,,,,,,,,,,,,,,,,,,,,,
169,This is the only correct answer to the question.,______________,tsi lei buhn tue bah lu u tsi tsit ei dahq ahm,Done,dahq ahm,,,,,,,,,,,,,,,,,,,,,
170,We have lessons together,__________,lah nahng nuhng ei ki so siang ei o tuhng,Done,,,,,,,,,,,,,,,,,,,,,,
171,Let's switch on the TV to watch the news.,___________,ua nahng kui dian si ki kua sim mun,Done,,,,,,,,,,,,,,,,,,,,,,
172,This secondary school has around 20 classes. ,_____________,tsi ei tioong u ti tsahp gui ei bahn,Done,,,,,,,,,,,,,,,,,,,,,,
173,I have decided to return to my home country in a few days.,________________,ua i geing siu ho liau _gue gui lit ua tio teng tsu_,Done,,,,,,,,,,,,,,,,,,,,,,
174,Let's go for a walk by the pond after dinner.,__________________,tsiaq uan buhng _lah nahng ki ho bi gia gui kuan _,Done,,,,,,,,,,,,,,,,,,,,,,
