23,"He treats you so well, is he your boyfriend?",他对你那么好，他是你的男朋友吧？,i tui le ah ni ho ，i si m si le ei tah boh peing u ？,Done,,,"e dui le jin hor, ka si da bo peng iu?",,他对你那么好，他是不是你的男朋友？
24,The child is 13 years old.,这个孩子今年十三岁。,tsi ei gin nah gin ni tsahp sah hue 。,Done,,,ji gai nou gia dzap sah huey,,这个孩子今年十三岁。
25,I have never heard him speak Chinese before. Maybe he can't?,我从来没听过他说汉语，可能他不会说吧？,gua tsiong lai bo tia gue i gohng hua u ，ko lian i bei hiauq gohng ah ？,Done,,,"ua bo tia gue e dah hua gi, ko leng bue hiou",,我从来没听过他说汉语，可能他不会说啊？
26,"I can't hear the television clearly, can you turn up the volume?",电视的声音我听不清楚，开大一点儿好吗？,tian si ei sia im gua tia bei tseing tsho ，kui tua sia tahm po ho bo ？,Done,,,"diang si tiah bo, kui dua siah",,电视的声音我听不清楚，开大声一点好吗？
27,"The sky is dark, looks like it is going to rain soon.",天这么阴，看像是要下雨了吧？,"ti seiq ah ni oh , in gai si ai loh hoh liau bah ？",Done,,,"ti oh, ai loh hoh",,天那么黑，应该是要下雨了吧？
28,They ranked 8th in this soccer match.,他们获得了这次足球比赛的第八名。,in nahng tei tio tseiq bai ti giu bi sai ei tei  pue mia 。,Done,,,,,他们获得这次足球比赛的第八名。
29,I am afraid there are no more public buses since it is so late.,这么晚了，恐怕没有公共汽车。,ah ni ua liau ，kia bo tsia tah liau 。,Done,,,ah neh ua liau bo tsia,,这么晚了，恐怕没有车搭了。
30,"Hurry, or we are going to miss the plane.",走啊，再不走就赶不上飞机了。,kah gin gia ，bo tahn tsei bei tio bue gi ,Done,,,"meh meh, pue gi ai zao liau",,快点走，不然等坐不到飞机
31,"I heard that restaurant has nice dishes, let's eat there.",那个饭馆儿的菜不错，我们去那儿吧。,tsi geing cai gun ei tsai bue pai ，lah nahng ki hiq tau  tsiaq ,Done,,,,,这间菜馆的菜不错，我们去那边吃
32,This lady is really pretty.,这个姑娘真漂亮啊！,tsi ei tsah boh kia tsin sui ,Done,,,,,这个姑娘真漂亮
33,I suggest going to that restaurant.,我建议去那个饭馆。,gua su gah ki tsi geing ei cai gun 。,Done,,,,,我喜欢去这间的菜馆。
34,"Now that we have encountered problems, we have to think of solutions.",现在麻烦事来了，咱们得想办法才行。,dzit dzun mah huan ei tai dzi lai liau ，gua nahng tiu ai siung bahn huat gah ei sai 。,Done,,,,,现在麻烦的事情来了，我们就要想办法才可以。
35,"I am free tonight, let's catch a movie.",今天晚上没事儿，我们去看电影吧。,gin lit ahm mei bo tai dzi ，gua nahng ki kuah hi 。,Done,,,,,今天晚上没事情，我们去看电影。
36,Time flies.,时间过得真快啊！,si gahn gue liau tsin gin ！,Done,,,,,时间过了很快！
37,I would like to borrow this book.,我很想看你这本书，借给我吧。,gua ai kuah le tsi bun tsei ，le tsio gua ei sai bei 。,Done,,,,,我要看你这本书，你借我可以不。
38,I haven't seen my parents in a year. How I miss them.,一年没跟父母见面了，多想去看看他们啊！,it ni bue kuah tio gua ei pei bu ，gua siung ai ki kuah i ,Done,,,,,一年没见到我的父母，我想要去看他
39,I want to buy some things. Come along with me!,我想去买东西，你跟我一起去吧。,gua siung ai ki bue ming gia ， gah gua tso tsi ei ki 。,Done,,,,,我想要去买东西， 跟我一起去。
40,You must come! Don't say you don't have time.,你别说没时间，一定要来啊！,le mai gohng bo si gahn ，tia tio ai lai 。,Done,,,,,你别说没时间，一定要来。
41,I know how to play tennis. I can teach you if you want to learn.,我会打网球，你想学的话我教你吧。,gua ei hiau pah giu ，le ai o gua gah le 。,Done,,,,,我知道打球，你要学我教你。
42,Don't forget to write to me!,你别忘了，一定要给我写信啊！,le mai bue ki ，tia tio ai hoh gua sia pue ah ！,Done,,,,,你别忘记，一定要给我写信啊！
43,"This is a really important matter, don't mess up!",这件事很重要，你可一定要办好啊。,tsei ei tai dzi tsin tiong iau ，le ai gah i dzo ho ah 。,Done,,,,,这件事很重要，你要跟他做好啊。
44,You have to tell your parents when you plan to get married.,你什么时候结婚可不能不告诉父母啊。,le si mi si au geiq hun bue sai mai gah pei bu gohng ,Done,,,,,你什么时候结婚不能不想父母说
45,This is a really nice shirt.,这件衣服真好看啊！,tsit nia sah tsin ho kuah ,Done,,,,,这件衣服很好看
46,I hope you come.,我很希望你来。,gua tsin ai le lai 。,Done,,,,,我很希望你来。
47,Ah? What did you say?,啊？你说什么？,ah ？le gohng si mi ？,Done,,,,,啊？你说什么？
48,Can you repeat yourself? I didn't hear clearly.,我没听清楚，希望你再说一遍。,gua bue tia tseing tsho ，le gah gohng tsit pai 。,Done,,,,,我没听清楚，你再说一遍。
49,"We have a new task on hand, let's see how we can handle it.",现在来了新任务，我们先看怎么办。,dzit dzun lai liau sin kahng kei ，gua nahng seing kuah ahn dzua kuah 。,Done,,,,,现在来了新任务，我们先看怎么看。
50,What's your name?,你叫什么名字？,le gio si mi mia ？,Done,,,,,你叫什么名？
51,What did you take away? Ah? What?,你把什么拿走了？啊？什么？,le gia si mi ming gia tsau ？ah ？si mi ？,Done,,,,,你拿什么东西跑？啊？什么？
52,The child burst into tears when she couldn't find her mother.,孩子找不到妈妈，开始大哭起来。,gin nah tsue bei tio lau bu ，kai si tua khau khi lai 。,Done,,,,,孩子找不到妈妈，开始大哭起来。
53,"Knife in hand, he prepard to cut the cake.",他手里拿着一把刀，准备切蛋糕。,i ei tsiu gia it bah to ，ai tsue neng go 。,Done,,,,,他的手拿一把刀，要切蛋糕。
54,Has he really left? I am shocked.,他真的走了吗？我很吃惊。,i tsin ei gia liau ah ？gua tsin kia 。,Done,,,,,他真的走了啊？我很怕。
55,"I have two umbrellas, I can lend you one.",我有两把雨伞，借给你一把。,gua u neng ei hoh sua ，hoh le tsit lei 。,Done,,,,,我有两个雨伞，给你一个。
56,I am headed to the airport to receive a few friends from my hometown.,我要去机场接几位来自家乡的老朋友。,gua ai ki pue gi tiu tsai gui ei hiu ei lau peing u 。,Done,,,,,我要去机场载几位家乡老朋友。
57,Please move that chair over here.,请将那把椅子搬过来。,hiq ei gau i bua lai ,Done,,,,,那个椅子搬来
58,Ah? That 3 year old child drew thsis beautiful painting?,啊？这幅漂亮的画儿是那个三岁孩子画的？,ah ？tsi ei tsin sui ei ue si hiq lei sah hue giah ue ei ？,Done,,,,,啊？这个很漂亮的画是那个三岁孩子画的？
59,He isn't Chinese? How is his chinese so fluent?,他不是中国人？汉语怎么说得这么流利？啊？,i tiu m si tioong gohk lahng ？ahn dzua gohng hua u gohng kau ah ni ho ？,Done,,,,,他就不是中国人？怎么讲华文说到那么好？
60,"I have tried all the keys, but none of them unlock this lock.",我把所有的钥匙一把一把地试了一遍，还是打不开这把锁。,gua gia long tsong ei so si tsit tsia tsit tsia ei kui it pai ，ge si bue sai kui hiq lei so 。,Done,,,,,我拿所有的钥匙一只一只地开一遍，还是不能那个锁。
61,"He fell sick, so he didn't attent the lesson.",他没来上课因为他病了。,i bo lai tsio kue ing ue i pua bi liau 。,Done,,,,,他没来上课因为他病了。
62,This was caught by hand.,用于用手抓着的东西。,tsi si iong tsiu lia tio ei ming gia 。,Done,,,,,这是用手抓到的东西。
63,I already know why he is absent.,他没来上课的原因我已经知道了。,i bo lai tsio kue ei uan eing gua i geing tsai ia liau 。,Done,,,,,他没来上课的原因我已经知道了。
64,Science is the foundation for progress in society.,科学的进步是人类社会发展的基础。,kue hiat ei tsim bo si lahng lei sia ue huaq tiong ei gei tshoh 。,Done,,,,,科学的进步是人类社会发展的基础。
65,"Ah, I know why he is happy now.",啊，我知道他为什么高兴了。,ah ，gua tsai ia i ue si mi hua hi liau 。,Done,,,,,啊，我知道他为什么高兴了。
66,We should point out their mistakes.,我们应该指出他们的错误。,lah nahng  i33 dz ei24 ng gah i gohng i tsoh ti to lo ,Done,,,,,我们应该跟他说他错在哪里
67,"Ah, I understand what this word means now.",啊，这个词的意思我懂了。,ah ，tsi ei dzi ei i si gua tsai ia liau 。,Done,,,,,啊，这个词的意思我懂了。
68,I grabbed two handfuls of peanuts for him to eat.,我抓了两大把花生给他吃。,gua meh neng tua bah toh tau hoh i tsiaq 。,Done,,,,,我捏两大把花生给他吃。
69,"Ah, I understand what is going on now.",啊，我明白了，是这么回事儿。,ah ，gua ming beiq liau ，tsi si si mi tai dzi。,Done,,,,,啊，我明白了，这是什么事。
70,There is not enough rice left to cook.,只剩下一小把米，做饭不够了。,tsun tahm po bi ，tse buhng bue gau lah 。,Done,,,,,剩一点米，煮饭不够啦。
71,"His tone is very firm, so it will not be changed.",他说话的语气非常肯定，所以是不会改变的。,i gohng ue ei kau ki hui siong keing deing ，i si bei ei gai bian ei 。,Done,,,,,他说话的语气非常肯定，他是不会改变的。
72,"Don't leave the door open, close it.",别开着门，把门关上吧。,mai kui tiau muhng ，muhng gah i gue tiau ,Done,,,,,不要开着门，门跟它关掉（关掉）
73,"He is 20 years old already, and is an adult.",他已二十岁，是个大人了。,i i geing ti tsahp hue ，si tsit lei tua lahng liau ,Done,,,,,他已经二十岁，是一个大人了
74,I removed the books from my school bag.,我把书包里的书拿了出来。,gua tsiong tsei bau lai bin ei tsei gia tshut lai liau ,Done,,,,,我将书包里面的书拿出来了
75,"Ah, this song is really nice.",啊，这首歌真好听！,ah ，tsi siu gua tsin ho tia ！,Done,,,,,啊，这首歌很好听！
76,I finished that magazine a long time ago.,我早就把那本杂志看完了。,gua tsah tiu tsiong hiq bun tsah gi kuah uan liau 。,Done,,,,,我早就将那本杂志看完了。
77,He is very familiar with this place. He must have been here before.,他对这里很熟悉，肯定来过这里。,i tui tsit tau tsin seik ，tia tio lai gue tsit tau 。,Done,,,,,他对这里很熟悉，肯定来过这里。
78,How can you say that his things are yours?,你怎么能把他的东西说成是你的呢？,le ahn dzua ei sai bah i ei ming gia gohng liau si kah ki ei？,Done,,,,,
79,I have a flu today and a slight cough.,我今天感冒了，有点儿咳嗽。,ua gin lit gahm moh liau ，u tiam 儿kah sau 。,Done,,,,,
80,He has yet to return my bicycle to me.,他还没把我的自行车还给我。,i ah bue heing ua ua ei kah tsia 。,Done,heing,,,,
81,"This place is beautiful, I am pleased.",这儿非常美，我觉得很好了。,tsin dzia sui ，ua kah tiq tsin dzia ho liau 。,Done,,,,,
82,I suggest you don't put this clothing in the washing machine. It would be destroyed.,你最好别把这件衣服放在洗衣机里洗，会洗坏的,tsit lei sah le siang ho mai bahng sue sah gi sue ，ei sue pai ei ,Done,,,,,
83,"This child is my son, I am his dad.",这个小孩儿是我儿子，我是他爸爸。,tsi lei si ua ei giah ，ua si i lau pei 。,Done,,,,,
84,Young people are after sweet love.,年轻人都要甜蜜的爱情。,siau lian ei si lahng ai 甜蜜ei ai tseing 。,,,,,,
85,He stopped coughing after taking his medicine.,吃了药以后，他不咳嗽了。,tsiaq io tiu bue kah sau liau 。,Done,,,,,
86,My parents have been married for 50 years.,我的爸爸妈妈已经结婚五十年了。,ua ei lau pei lau bu i geing geiq hun goh tsahp ni liau 。,Done,,,,,
87,His love story with his wife moved many people.,他与妻子的爱情故事感动了很多人。,i gah i boh ei ai tseing goh suh gahm tohng liau tsin tsue lahng 。,Done,,,,,他和他妻子的爱情故事感动了很多人。
88,He reminded his father to take care.,他对他父亲说要多注意身体。,i tui i lau pei gohng ai gah dzu i seiing khu 。,Done,,,,,他对他父亲说要更注意身体。
89,He has a deep love for his wife.,他对妻子有很深的感情。,i tio i ei boh u tsin tsim ei gahm dzeing 。,Done,,,,,他对他的妻子有很深的感情。
90,My father cares a lot for his family members.,我爸爸对家里人都非常关心。,gua ei lau pei tui tsu lai ei lahng tsin tsia gim sim 。,Done,,,,,我的爸爸对家里的人非常关心。
91,This paper is very white.,这张纸很白。,tsi tiu dzua tsin pei 。,Done,,,,,这张纸很白。
92,"She only lived for 30 years, its a pity she's dead.",她只活了三十岁，死得太可惜了。,i bah lu ua kau sah tsahp hue ，si gah tsin ko sio 。,Done,,,,,她只活到三十岁，死得很可惜。
93,It's a pity he didn't get first place.,他没拿到冠军，太可惜了。,i bue gia tio guan gun ，tai ko sio liau 。,Done,,,,,他没拿到冠军，太可惜了。
94,"Her love for her husband runs deep, and she has never thought about leaving him.",她对丈夫爱得很深，从来没想过离开丈夫。,i tui i ahng ai gah tsin tsim ，tsiong lai bo siu gue li kui i 。,Done,,,,,她对她丈夫爱得很深，从来没想过离开他。
95,White shirts get dirtied easily.,白衣服很容易弄脏。,pei sah tsin gue tsong lah sahm 。,Done,,,,,白衣服很容易弄肮脏。
96,She loves her children a lot.,她太爱她的孩子了。,i tai ai i ei giah liau 。,Done,,,,,她太爱她的孩子了。
97,"She wasn't feeling well, and her face was white as a sheet.",她身体不舒服，脸白得像纸一样。,i sim te bei su hohq ，bin pei gah siang it tiu dzua 。,Done,,,,,她身体不舒服，脸白得像一张纸。
98,I love my hometown very much.,我深深地爱着我的故乡。,i tsim tsim ei ai tiau gua ei goh hiong 。,Done,,,,,他深深地爱着我的故乡。
99,The walls of this house are white and clean.,这个屋子的墙白白的，很干净。,tsi geing tshu ei piaq pei pei，tsin tseing khi 。,Done,,,,,这间屋子的墙白白，很干净。
100,"He loves his mother, who painstakingly brought him up, the most.",他一生中最爱的人是辛辛苦苦地把他养大的母亲。,i tsit si lahng siang ai ei lahng si sin sin koh koh tsiong i tsi tua hahn ei lau bu 。,Done,,,,,他一生中最爱的人是辛辛苦苦将他养长大的母亲。
101,"After a night of snowing, everytihng was covered in snow the next morning.",下了一夜的雪，早上一切都变白了。,lo liau it mei ei sue ，dzah khiq long tsong bian pei liau 。,Done,,,,,下了一夜的雪，早上全部变白了。
102,"I enjoy sports, and I play basketball every week.",我爱运动，每个星期都要去打球。,gua ai un tong ，tahq ei lei bai ki pah giu 。,Done,,,,,我爱运动，每个礼拜去打球。
103,She didn't take a single thing I said to heart.,我对她说的话白说了，她一句也没听。,gua gah i gohng ei ue pei gohng liau ，i it gu mah bo tia 。,Done,,,,,我跟她说的话白说了，她一句也没听。
104,"She enjoys travelling, and she travels whenerver she has the time.",她爱旅游，一有时间就想去旅游。,gua ai le heing ，it u si gahn tiu siung ki le heing 。,Done,,,,,我爱旅游，一有时间就想去旅游。
105,My words had no impact at all.,我的话一点儿作用也没有。,gua ei ue dzi diam ah dzo iong ia bo 。,Done,,,,,我的话一点作用也没有。
106,"She enjoys watching television, and watches at least 3 to 4 hours of television daily.",她特别爱看电视，每天最少要看三四个小时。,i tsin ai kuah tian si ，tahq lit siang tsio ai kuah sah si tiam dzeing 。,Done,,,,,她很爱看电视，每日最少要看三四小时。
107,"I did a day's work in vain, as the boss wants me to redo.",我一天的工作全白干了，老板说要重做。,gua tsi lit ei kahng kei pei dzo liau ，tau gei gohng ai bah leiq dzo 。,Done,,,,,我一天的工作白做了，老板说要重做。
108,I made a trip in vain to find her at her house as she wasn't in.,我去她家找她，她不在，我白跑了一趟。,gua ki i tsu tsue i ，i bo ti ，gua pei gia liau ,Done,,,,,我去她家找她，她不在，我白走了
109,"White shirts get dirtied easily, you need to be careful when wearing them.",白的衣服容易脏，穿的时候要注意。,pei ei sah koh tsin gue lah sahp ，tsheing ei si dzun ai dzu i 。,Done,,,,,白的衣服很容易肮脏，穿的时候要注意。
110,I wasted a lot of money on books that weren't to my liking.,我白花了很多钱，却没买到特别满意的书。,gua kai liau tsin tsue lui ，bue bue tio te pei mua i ei tsei 。,Done,,,,,我花（钱）了很多钱，没买到特别满意的书。
111,I love to eat lettuce.,白菜是我最爱吃的蔬菜。,pei tsai si gua su gah tsiaq ei tsai 。,Done,,,,,白菜是我喜欢吃的蔬菜。
112,She bought a few lettuces from the market.,她从市场上买了几棵白菜。,i ti bah saht bue gui liap pei tsai 。,Done,,,,,她在巴杀买几棵白菜。
113,"Glass breaks easily, careful not to drop it on the ground.",玻璃杯容易碎，小心别掉地上。,bo lei bue gue phua ，sio sim mai gah lau toh kah 。,Done,,,,,玻璃杯容易破，小心别掉地板。
114,This dish was prepard using lettuce and eggs.,这个菜是用白菜和鸡蛋做的。,tsi pua giam si iong pei tsai gah gue neng dzo ei 。,Done,,,,,这盘菜（肴）是用白菜和鸡蛋做的。
115,"He is very well-tempered, and doesn't get angry easily.",他的脾气非常好，不爱生气。,i ei pi ki tsin ho ，bei gue ki 。,Done,,,,,他的脾气很好，不容易气。
116,This year has 365 days.,今年有三百六十五天。, gia ni u sah pahq lahk tsahp goh gahng 。,Done,,,,,今年有三百六十五天。
117,"That hill is very short, it only takes 5 minutes to reach the top.",那座山真矮，五分钟就能爬上去。,hiq ei sua tsin ue ，goh hun dzeing tiu bei gue ki 。,Done,,,,,那个山真矮，五分钟就爬过去。
118,He has a few hundred books.,他有几百本书。,i u gui pahq bun tsei 。,Done,,,,,他有几百本书。
119,"Let's move this table together, it is too heavy.",我们一起搬这张桌子吧，它太重了。,gua nahng tso tsi tim bua tsi lei to teing，i gue tahng liau 。,Done,,,,,我们一起搬这个桌子吧，它过沉重了。
120,He has moved the television to another room.,他已经把电视搬到另一个房间去了。,i bua tian si gi ki leing uai tsit ei bahng geing liau 。,Done,,,,,他搬电视去另外一个房间了。
121,I can't move this fridge on my own.,我一个人搬不动这个冰箱。,gua tsit gei lahng bua bei gia tsi ei suhng tu 。,Done,,,,,我一个人搬不动这个冰箱。
122,Approximately 500 to 600 people visited this museum today.,今天来这个博物馆参观的有五六百人。,gin lit lai tsi lei boh u guan ei lahng u goh lahk pahq。,Done,,,,,
123,"There used to be many low houses here, but now they have been redeveloped into skyscrapers.",以前这一带有很多矮房子，现在都变成了高楼。,gu dzah tsi tau u tsin tsue ue ue ei tsu，dzi dzun long tsong bian tua lau liau。,Done,,,,,
124,Many new small trees were planted on those short hills.,那些矮矮的小山上新种了许多矮矮的小树。,hiq ue ue ei sua deing tseing liau tsin tsue ue ue ei tsiu。,Done,,,,,
125,Placing flowers on the table is to decorate the room.,把花放在桌子上是为了让房间更好看。,bah hue bahng tsai to teing si ui tio hoh bahng geing gah ho kuah 。,Done,,,,,把花放在桌子是为到让房间更好看。
126,This large classroom has around 200 seats.,这个大教室有二百来个座位。,tsi lei tua gah si u neng pahq lai ei tsei ui 。,Done,,,,,这个大教室有二百来的座位。
127,Can you lift this large rock?,你能把这块大石头搬起来吗？,le ei bah tsi kuai tua tsio tau bua khi lai bo ？,Done,,,,,你能把这块大石头搬起来不？
128,"Your hand is bleeding, is the cut deep?",你的手流血了，伤得厉害吗？,le ei tsiu lau huiq liau ，siong dei li hai mah ？,Done,,,,,你的手流血了，伤得厉害吗？
129,"Drive safely, be careful not to drive too fast.",开车要注意安全，别开得太快,kui tsia ai dzu i ahn dzuan ，mai kui dei tai kuai ,Done,,,,,开车要注意安全，别开得太快
130,"As long as one perseveres, any obstacles can be overcome.",只要坚持下去，就没有克服不了的困难。,"le nah si gian tsi lo ki, le tiu gai guat lohng tsong ei buhn tue",Done,"gian tsi, 解决 gai guat",,,,
131,I am frustrated with my short height.,我为自己矮矮的个子而烦恼。,ua tsin huan lo ua tsin ue,Done,烦恼 huan lo,,,,
132,"The visitors luggage have yet to arrive, let us wait a while more.",客人的行李还没有到，我们再等一会儿吧。,"kei lahng ei siu li ah bue kau, ua nahng ge tahn tsit bahn nia",Done,,,,,
133,This small room can't fit such a big piano.,这个小房间里摆不下那么大的钢琴,tsin ei bahng geing lai min bahng bue lo ah ni tua ei gahng tseing,Done,,,,,
134,"This chair is not tall enough, adults would feel uncomfortable sitting in it.",这把椅子不够高，大人坐会觉得不舒服。,"tsit ei kau i gah ue, dua lahng tsei liau bei su hohq",Done,,,,,
135,"The quality of these models of cars is bad, and it often malfunctions.",这种汽车质量不好，爱出毛病。,tsi kuan ei tsia tshui tsun bue gao ，ei tshut bun tue 。,Done,,,,,这款的车水准不够，会出问题。
136,This lettuce's leaves are a little yellow.,这棵白菜的叶子有点儿黄。,tsi dzahng pei tsai ei hio u tahm po ng 。,Done,,,,,这棵（树）白菜的叶子有一点黄。
137,There is a vase of flowers on the table.,桌子上摆着一瓶花。,to teing bahng tsit gahn hue 。,Done,,,,,桌子放一罐花。
138,"Since you stay at this hotel, you are our guest.",既然你们住在这个饭店，就是我们的客人。,sui lian le kia gua ei kei tsahng ，le si gua ei kei 。,Done,,,,,虽然你住我们的客房，你是我的客人。
139,"The child grows really quickly, and is only slightly shorter than his father now.",孩子长得真快，现在只比爸爸矮一点儿了。,sue giah tsin gin tua ，dzi dzun bi lau pei ue tahm po 。,Done,,,,,小孩很快大，现在比爸爸矮一点。
140,This is the optimum position to place the television.,把电视机摆在这里最合适。,tian si gi bahng te tsit tau siang siq hahq 。,Done,,,,,电视机放在这里最合适。
141,"The table is not straight, it is slightly slanted.",桌子没摆正，有点儿别扭。,to teing bue tiq ，u tahm po gau ue 。,Done,,,,,桌子没直，有一点别扭。
142,"His father is very short, and is barely 1.6m tall.",他的父亲长得很矮，身高不到一米六。,i nahng ei pei bu tsin ue ，boh kau it tiam lahk ng i gue 。,Done,,,,,他们的父母很矮，不到一点六高。
143,"The chairs are not arranged neatly, kindly rearrange them.",椅子摆得不整齐，重新摆一下儿。,gau i bai bo ho seiq ，gue bai tsit bai 。,Done,,,,,椅子摆不，重摆一次。
144,Her bicycle costs around 400 dollars.,她的自行车要四百多块钱。,i ei tah kah tsia su iau tsiau gue si pahq koh 。,Done,,,,,她的自行车需要超过四百多块。
145,That old house has a few centuries worth of history.,那座古老的房子已经有好几百年的历史了。,hiq ei lau tshu u gui pahq ni ei leiq si liau 。,Done,历史,,,,
146,"The bookshelf is very short, and cannot store many books.",书架做得太矮，放不了多少书。,tsit lei tu dzo gah tsin ue ，bei sai pahng tsin tsue tsei 。,Done,,,,,
147,He is moving a large box onto the truck.,他正在汽车上搬一个大箱子。,i te tsia deing bua tsit ei tua ahp。,Done,,,,,
148,"Watching movies is his favourite hobby, he will definitely be pleased when you bring him to the cinema.",看电影是他最大的爱好，你请他看电影他肯定高兴。,"i su kah kuah hi , le tshia i kuah hi i ei tsin hua hi 。",Done,,,,,
149,"The content of the conversation is important, you should listen.",他说的东西很重要，你应该听听。,i gohng ei ue tsin dzia tiong iau ，le in gai tia yi gohng。,Done,,,,,
150,The library is very quiet.,图书馆里很安静。,toh su guan lai bin tsin dzia tiam。,Done,,,,,
151,"Please remain quiet, don't talk loudly.",请保持安静，别大声说话。,le ei sai mai tua sia gohng ue bo?,Done,,,,,
152,Let's move the closet from that house over.,我们把屋子那边的衣柜搬过来吧。,lah nahng bah hiq tau ei tu bua gue lai。,Done,,,,,
153,"This is a safe city, it has very little criminals.",这是个安全的城市，坏人很少。,tsi si tsit lei ahn dzuan ei soh zai，pai lahng tsin tsio。,Done,,,,,
154,It is safer to park here as there are people watching.,汽车停在这儿比较安全，一直有人看着。,ti tsi tao teing tsia gah ahn dzuan ，u lahng kuah tiau 。,Done,,,,,
155,He is moving house soon and won't be staying here.,他家要搬了，以后就不住在这儿了。,i tsu ai bua liau ，ei bai tio bo kia tsi tao liau 。,Done,,,,,
156,Her mom is consoling her as she broke up with her boyfriend.,她跟男朋友分手了，妈妈正在安慰她呢。,i gah tah boh peing u hun ，i ei lau bu ahn ui i 。,Done,安慰,,,,
